cnt,OPENDATA_ID,GNG_CS,FD_CS,BZ_NM,TLNO,MBZ_HR,SEAT_CNT,PKPL,HP,PSB_FRN,BKN_YN,INFN_FCL,BRFT_YN,DSSRT_YN,MNU,SMPL_DESC,SBW,BUS,GU,addr_clean,lat,lon,SEAT_CNT_NUM,ROOM_CNT,PKPL_NUM
131,571,대구광역시 중구 남산동 609-4,한식,남산동이영옥할매보쌈,053-252-3213,24시간,60,유료주차장,없음,일본어 기타 (),가능,불가능,가능,가능,"보쌈 22,000원 ~ 44,000원<br />수육 소 20,000원<br />",76년 부터 대를 이어 운영되고 있는 보쌈 전문점으로 남산동 자동차부속골목 끝자락에 위치하고 있습니다.,지하철 1호선 명덕역 7번 출구 약 560m,버스 정류장은 남문아파트앞 정류장이 가장 가깝습니다.,중구,대구광역시 중구 남산동 609-4,35.8616174,128.587267,0,0,1
132,570,"대구광역시 중구 문화동 9-14, 2층",한식,낙원순두부,053-425-7167,11:00~21:00 (브레이크타임 15:30~17:30),50석,유료주차장,없음,기타 (),불가,불가능,불가능,불가능,"순두부 9,000원<br />해물순두부 10,000원<br />청국장, 김치찌개, 비빔밥 9,000원",순두부찌개 전문으로 1969년 오픈 이래 지금까지 많은 사랑을 받고 있는 맛집입니다. 자극적인 외국음식이 많은 요즘 부드러운 순두부를 듬뿍 넣고 등뼈를 우려낸 진한 육수로 끓여내어 담백하고 깊은 맛을 내어 다양한 연령층이 찾는 밥집입니다. 핫플공간이 되어가는 교동에서 1차 밥집으로 속을 든든히 채우고 한 잔하기에 안성맞춤입니다.<br />,지하철 1호선 중앙로역 3번 출구 약 340m,버스 정류장은 2.28기념중앙공원건너1  정류장이 가장 가깝습니다.,중구,대구광역시 중구 문화동 9-14,35.87156,128.59739,50,0,1
133,569,대구광역시 중구 태평로1가 4-1,한식,국일불갈비,053-424-5820,11:00 ~ 22:00,78석,13대(진흥유료주차장이용),없음,기타 (),가능,불가능,불가능,가능,"돼지불고기 9,000원<br />돼지불갈비 10,000원<br />고추장불고기 9,500원<br />",1976년 오픈하여 지금까지 43년 이상 영업하고 있는 전통있는 음식점으로 연탄 돼지불고기로 유명한 곳.<br />,"지하철 1호선 대구역 1번 출구에서 약 370m이며, 도보로 약 5분 거리입니다.",버스 정류장은 대구역건너 정류장이 가장 가깝습니다.,중구,대구광역시 중구 태평로1가 4-1,35.87474,128.59776,78,0,13
134,564,대구광역시 중구 서성로1가 59-1,한식,8번식당,10:00 ~ 21:30,10:00 ~ 22:00,80석(룸1),2대,없음,영어 일본어 중국어 기타 (),가능,불가능,가능,가능,"모듬수육 30,000원 ~ 50,000원 <br />섞어국밥 9,000원 <br />고기국밥 9,000원 <br />순대국밥 9,000원<br />","8번식당은 대를 이어 끓이는 45년 정성의 돼지국밥, 순대국밥의 역사가 깃든 국밥 전문점입니다.<br />","지하철은 3호선 서문시장역 1번 출구 약 680m이며, 도보로 약 10분 거리입니다.",버스 정류장은 성내3동주민센터입구 정류장이 가장 가깝습니다.,중구,대구광역시 중구 서성로1가 59-1,35.87128,128.58746,80,1,2
135,557,대구광역시 중구 봉산동 25-11,세계요리,라마앤바바나,053-255-9569,11:30 ~ 21:30,36,유료주차장,없음,기타 (),가능,불가능,불가능,가능,"치킨커리 12,000원 <br />나시고랭 15,000원 <br />커리크림치킨 26,000원<br />",인도음식 퓨전 요리 전문점.<br />본국에서 직접 공수해온 엄선된 재료들을 인도 전통조리방식과 우리 입맛에 맞게 퓨전요리한 향기로운 인도음식을 즐기시고 느껴보세요.<br />,지하철 2호선 반월당역 10번 출구 약 160m,버스 정류장은 봉산문화거리건너 정류장이 가장 가깝습니다.,중구,대구광역시 중구 봉산동 25-11,35.86322,128.59761,0,0,1
136,546,대구광역시 중구 수동 31-2,한식,고향뜰,053-257-6700,10:30 ~ 21:00,88석(룸4),100대(약령주차장1시간무료),없음,영어 일본어 중국어 기타 (),가능,불가능,불가능,가능,"숫총각버섯탕 11,000원 <br />전복버섯탕 16,000원 <br />들깨버섯탕 12,000원 <br />낙지버섯탕 15,000원 <br />능이버섯탕 15,000원 <br />능이전복버섯탕 20,000원 <br />버섯낙지볶음 15,000원 <br />버섯된장찌개 8,000원 <br />버섯불고기 18,000원 <br />생버섯전 12,000원<br />","고향뜰은 버섯탕, 버섯볶음, 버섯찌개, 버섯전 등 다양한 버섯 요리를 맛볼 수 있는 버섯 요리 전문점입니다.<br />",지하철 1호선 중앙로역 1번 출구 약 460m,버스 정류장은 곽병원건너 정류장이 가장 가깝습니다.,중구,대구광역시 중구 수동 31-2,35.86974,128.58909,88,4,100
137,514,대구광역시 중구 종로2가 61,한식,미성초밥,0507-1396-6775,11:30 ~ 22:00,32,유료주차장,없음,기타 (),가능,불가능,불가능,가능,"회(광어/우럭/밀치) 41,000원~65,000원<br />",진골목에 위치한 음식점 입니다.,지하철 2호선 반월당역 15번 출구 약 260m<br />지하철 1호선 중앙로역 1번 출구 약 300m<br />,버스 정류장은 약령시건너 정류장이 가장 가깝습니다.,중구,대구광역시 중구 종로2가 61,35.8658537,128.593436,0,0,1
138,513,대구광역시 중구 장관동 36-1,한식,약전식당,053-252-9684,11:30 ~ 20:30,66석,유료주차장,없음,일본어 중국어 기타 (),가능,불가능,불가능,가능,"돌솥멍게비빔밥 15,000원 <br />나물비빔밥 8,000원 <br />수육(예약) 40,000원<br />모밀국수 8,000원<br />콩국수 8,000원",약전식당은 2대 50년을 이어온 오래된 맛집으로 건강한 음식을 맛볼 수 있습니다.,"지하철은 1호선/2호선 반월당역 18번 출구 약 390m이며, 도보로 약 5분 거리.",버스 정류장은 약령시입구 정류장이 가장 가깝습니다.,중구,대구광역시 중구 장관동 36-1,35.86877,128.59068,66,0,1
139,509,대구광역시 중구 종로2가 72-1,한식,다전칼국수,053-256-7722,11:30~21:00 (브레이크타임: 15:00~17:00),44(룸1),유료주차장이용,없음,기타 (),가능,불가능,불가능,불가능,"들깨칼국수 9,000원<br />비빔밥 10,000원<br />찜(코다리) 40,000원<br />",다전칼국수 직접 반죽하고 저온 숙성시켜 옛 방식대로 손으로 썰어 찰진 국수를 만드는 칼국수 전문점입니다.,지하철 2호선 반월당역 15번 출구 약 210m<br />,버스 정류장은 약령시건너 정류장이 가장 가깝습니다.,중구,대구광역시 중구 종로2가 72-1,35.86834,128.5919,0,1,1
140,507,"대구광역시 중구 남성로 51-6, 2층",한식,가창큰나무집 약령시점,0507-1308-0709,10:00 ~ 21:00,88,유료주차장,없음,기타 (),가능,불가능,불가능,가능,"영계약백숙 15,000원 <br />전복삼계탕 19,000원<br /><br />",가창큰나무집에서 약령시안에 분점을 오픈 했습니다.,지하철 2호선 반월당역 18번 출구 약 340m,버스 정류장은 약령시입구 정류장이 가장 가깝습니다.,중구,대구광역시 중구 남성로 51-6,35.8683,128.58952,0,0,1
141,473,대구광역시 중구 공평동 8-6,일식,사야까,053-427-0141,11:30 ~ 20:30 (15:30~16:30 브레이크타임),40석,주변유료주차장,없음,일본어 기타 (),가능,불가능,불가능,불가능,"규코츠라멘 11,000원 <br />규코츠 소유라멘 11,000원 <br />규코츠 탄탄멘 11,000원 <br />차슈 큐코츠라멘 14,000원<br />","사야까는 음식의 기본을 재료에서 찾는다.<br />일본처럼 300년, 400년 대를 이어 유지할 수 있는 음식점을 만들려면 가장 중요한 것은 당장의 음식 맛이 아니라 재료라고 생각한다.<br />그래서 이곳 음식점에는 사용하는 재료에 대한 안내서가 많이 눈에 띈다.",지하철 1호선 중앙로역 2번 출구 약 160m,버스 정류장은 약령시앞 정류장이 가장 가깝습니다.,중구,대구광역시 중구 공평동 8-6,35.87032,128.59819,40,0,1
142,453,대구광역시 중구 공평동 31-1,한식,핀투대박양념오뎅,053-422-3592,08:30 ~ 24:00,18,주차불가,없음,기타 (),예약 불가(전화요망),불가능,불가능,불가능,"대박떡볶이 1인분 4,000원 <br />잎새만두 1인분 4,000원 <br />납작만두 1인분 4,000원<br /><br /><br />",대구백화점 옆에 위치한 양념오뎅이 맛있는 집.,버스 정류장은 CGV대구한일앞정류장이 가장 가깝습니다.,"156, 309, 425, 323, 427, 521, 724, 939, 980, 106",중구,대구광역시 중구 공평동 31-1,35.87032,128.59819,0,0,1
143,447,대구광역시 중구 공평동 56-3,한식,원주통닭,053-424-5129,11:00 - 22:00,20석,주차불가,없음,기타 (),가능,불가능,불가능,불가능,"튀김통닭 19,000원 <br />양념통닭 20,000원 <br />반반통닭 20,000원 <br />야채찜닭 24,000원<br />",옛날 통닭맛을 느낄 수 있는 곳.<br />골목에 위치.,지하철 1호선 중앙로역 2번 출구 약 480m<br />,버스 정류장은 삼덕성당앞정류장이 가장 가깝습니다.,중구,대구광역시 중구 공평동 56-3,35.87032,128.59819,20,0,1
144,445,대구광역시 중구 종로2가 63,한식,소두불,053-252-9430,07:00 ~ 22:30,50석,주차불가,없음,기타 (),가능,불가능,가능,불가능,"돼지국밥 8,500원 <br />순대국밥 8,500원 <br />내장국밥 8,500원<br />","옛날 성당시장에 있던 식당이었으나 현재의 위치로 이전.<br />쫄깃한 식감의 순대와 수육, 국밥이 유명한 곳.",지하철 1호선 중앙로역 1번 출구 약 280m,버스 정류장은 약령시건너정류장이 가장 가깝습니다.,중구,대구광역시 중구 종로2가 63,35.86834,128.5919,50,0,1
145,439,대구광역시 중구 사일동 79,한식,동성로떡볶이(2호점),053-424-8716,10:00 ~ 22:00,40석,주변유료주차장,없음,기타 (),가능,불가능,불가능,불가능,"동성로떡볶이 4,000원 <br />해물떡볶이 4,000원 <br />치즈떡볶이 5,000원<br />",동성로 떡볶이골목에 위치한 원조집.<br />즉석 떡볶이 형태로 먹은 후 밥을 볶아 먹을 수 있습니다.,지하철 1호선 중앙로역 2번 출구 약 220m,버스 정류장은 약령시앞정류장이 가장 가깝습니다.,중구,대구광역시 중구 사일동 79,35.8713539,128.5953489,40,0,1
146,435,대구광역시 중구 남산동 586-11,한식,서울보쌈,053-252-8006,05:00 ~ 23:00,50석,4대,없음,기타 (),가능,불가능,가능,가능,"보쌈 24,000원 ~ 48,000원 <br />수육 20,000원 ~ 39,000원 <br />암뽕 22,000원<br />",서울보쌈은 이름앞에 원조라는 말이 붙어 있다.<br />아닌게 아니라 [남문시장 돼지보쌈골목]에서 가장 먼저 보쌈을 판매한 원조 가게 이다.<br />서울에서 부모님의 보쌈 식당 개성보쌈 에서 배워와 1983년 이곳에 자리를 잡았다.,지하철 1호선 명덕역 7번 출구 약 610m,버스 정류장은 남문아파트앞정류장이 가장 가깝습니다.,중구,대구광역시 중구 남산동 586-11,35.8616174,128.587267,50,0,4
147,370,대구광역시 중구 동인동1가 332-3,한식,봉산찜갈비,053-425-4203,09:00 ~ 21:00,140석(룸1),30대,없음,영어 기타 (),가능,불가능,불가능,가능,"한우 찜갈비 30,000원 <br />호주산 찜갈비 22,000원 <br />갈비살 찌개 8,000원<br /><br />","대구 특유의 더운 날씨에 맞게 양질의 소갈비에 마늘과 고춧가루, 천연양념으로 맛을 낸 봉산찜갈비는 맛뿐만 아니라 건강보양식, 스테미너용으로 최고의 음식입니다. <br />","지하철 1호선 칠성시장역 3번 출구 약 588m이며, 약 10분 거리.",버스 정류장은 동인치안센터앞정류장이 가장 가깝습니다.,중구,대구광역시 중구 동인동1가 332-3,35.87218,128.60357,140,1,30
148,368,대구광역시 중구 동인동1가 300-1,한식,월성찜갈비,053-424-6942,09:00 ~ 24:00,72석,5대,없음,기타 (),가능,불가능,불가능,가능,"한우 찜갈비 30,000원 <br />수입육 찜갈비 22,000원 <br />갈비살 찌개 8,000원<br /><br /><br />",저희 업소는 48년 전통을 2대째 이어오고 있습니다. 직접 간 마늘과 고춧가루로 입맛을 돋우는 찜갈비를 만들고 있습니다. 그리고 저희 업소는 청결과 친절을 최우선으로 합니다.<br />,"지하철은 1호선 칠성시장역 3번 출구 약 644m 이며, 도보로 약 11분 거리.",버스 정류장은 동인치안센터앞 정류장이 가장 가깝습니다.,중구,대구광역시 중구 동인동1가 300-1,35.87218,128.60357,72,0,5
149,367,대구광역시 중구 동인동1가 298-3,한식,유진찜갈비,053-425-7184,09:30 ~ 21:00,120석,6대,없음,기타 (),가능,불가능,불가능,가능,"한우 찜갈비(200g) 30,000원 <br />수입산 찜갈비(200g) 22,000원 <br />소고기찌개 8,000원<br />","1970년대부터 자리잡아 3대째 내려오는 향토음식점입니다. 고춧가루, 다진마늘, 갖은 양념을 넣어 졸인 갈비찜이 대표메뉴입니다. 예전의 맛을 그대로 이어가고자 노력하고 있습니다.<br />","지하철 1호선 칠성시장역 3번 출구 약 614m 이며, 도보로 약 11분 거리",버스 정류장은 동인치안센터앞 정류장이 가장 가깝습니다.,중구,대구광역시 중구 동인동1가 298-3,35.87218,128.60357,120,0,6
150,364,대구광역시 중구 동인동1가 310-3,한식,동원찜갈비,053-427-1430,09:00 ~ 23:00,150석(룸1),10대,없음,기타 (),가능,불가능,불가능,가능,"한우 찜갈비(200g) 30,000원 <br />호주산 찜갈비(200g) 20,000원 <br />갈비살찌개 8,000원<br />",명물거리 동인동 찜갈비 골목에 위치한 동원찜갈비는 1960년대부터 자리 잡아 지금도 변하지 않은 맛을 유지하는 대구의 향토음식점입니다.,"지하철 1호선 칠성시장역 3번 출구 약 660m 이며, 도보로 약 11분 거리",버스 정류장은 동인치안센터앞 정류장이 가장 가깝습니다.,중구,대구광역시 중구 동인동1가 310-3,35.87218,128.60357,150,1,10
151,336,대구광역시 중구 남산동 298-21,한식,남문납작만두,053-257-1440,10:00 ~ 18:30,28석,없음,없음,기타 (),가능,불가능,불가능,불가능,"납작만두(소) 3,500원 <br />비빔밥 5,000원 <br />냉국수 4,000원<br />",71년도 부터 남문시장에서 자리를 잡은 남문납작만두는 48년 이상 대구를 대표하는 음식인 대구 납작만두의 원조격입니다.<br />,"지하철 1호선 반월당역 1번 출구 약 388m이며, 도보로 약 5분 거리",버스 정류장은 남문시장앞  정류장이 가장 가깝습니다.,중구,대구광역시 중구 남산동 298-21,35.8616174,128.587267,28,0,0
152,318,대구광역시 중구 대신동 138,일식,미림,053-554-6636,11:30 ~ 20:00,50석(룸2),없음,없음,기타 (),가능,불가능,불가능,불가능,"돈까스 10,000원 <br />어묵우동 8,000원 <br />냄비우동 5,000원<br /><br /><br />","미림 식당은 오랜 역사를 자랑하는 돈까스 전문점으로, 1962년에 문을 열어 지금까지 대구 시민들에게 사랑받고 있는 곳입니다.",지하철 3호선 서문시장역 2번출구 약 220m,버스 정류장은 섬유회관건너1 정류장이 가장 가깝습니다.,중구,대구광역시 중구 대신동 138,35.8669269,128.5793045,50,2,0
153,271,대구광역시 중구 동인동1가 298-9,한식,산호찜갈비식당,053-422-2523,10:00 ~ 22:00,95석(룸1),4대,없음,기타 (),가능,불가능,불가능,가능,"찜갈비(한우+육우) 26,000원 <br />소고기찌개 8,000원<br />",[산호갈비찜]은 79년 부터 2대째 대를 이어 내려온 갈비찜 전문점입니다.,지하철 1호선 칠성시장역 3번 출구 약 620m,버스 정류장은 동인치안센터앞 정류장이 가장 가깝습니다.,중구,대구광역시 중구 동인동1가 298-9,35.87218,128.60357,95,1,4
154,264,대구광역시 중구 동인동1가 297-1,한식,낙영찜갈비,053-423-3330,10:00 ~ 21:00,136석,50대,www.nakyoung.com/,영어 일본어 기타 (),가능,불가능,불가능,가능,"한우 찜갈비(180g) 30,000원 <br />미국산 찜갈비(180g) 22,000원 <br />쇠고기찌개 9,000원<br />",낙영찜갈비는 1972년 술대포집부터 시작하여 이후 대를이어 전통을 이어가는 동인동의 명가 입니다. 육질 좋은 쇠고기만을 엄선하여 독특한 양념의 맛을 느낄 수 있는 갈비찜과 갈비찜만큼이나 인기 있는 쇠고기 찌개가 주 메뉴 입니다.,지하철 1호선 칠성시장역 3 번출구 약 570m,버스 정류장은 동인치안센터앞 정류장이 가장 가깝습니다.,중구,대구광역시 중구 동인동1가 297-1,35.87218,128.60357,136,0,50
155,259,대구광역시 중구 동인동1가 334-1,한식,수복찜갈비,053-423-8667,10:00 ~ 21:00,54석(룸2),10대,없음,중국어 기타 (),가능,불가능,불가능,가능,"한우 찜갈비(200g) 30,000원 <br />호주산 찜갈비 (200g) 22,000원 <br />쇠고기 찌개 9,000원<br /><br /><br />",갈비를 직접 칼손질하여 100% 갈비만을 사용하기 때문에 육질이 매우 부드럽고 쫄깃하며 감칠맛이 납니다.<br /><br />,"지하철 1호선 칠성시장역 3번 출구 약 618m 이며, 도보로 약 11분 거리",버스 정류장은 동인치안센터앞 정류장이 가장 가깝습니다.,중구,대구광역시 중구 동인동1가 334-1,35.87218,128.60357,54,2,10
156,247,"대구광역시 중구 대봉동 214, 11층",일식,힛또,053-256-6868,11:00 ~ 20:00,116,대백프라자주차장,없음,영어 기타 (),가능,불가능,불가능,가능,"특초밥정식 29,000원 <br />모듬초밥 15,000원 <br />히레카츠 14,000원<br />","대백프라자 10층에 위치하고 있는 힛또는 스위스까스, 나가사끼탕면(생면)등 인기 있는 메뉴를 가지고 있으며 업주가 계속적인 연구 노력하는 업체이다.<br />",지하철 3호선 대봉교역 4번 출구 약 110m,버스 정류장은 대백프라자건너 정류장이 가장 가깝습니다.,중구,대구광역시 중구 대봉동 214,35.8586783,128.603013,0,0,1
157,235,대구광역시 중구 동인동1가 322-2,한식,벙글벙글찜갈비,053-424-6881,09:00 ~ 22:00,120석(룸2),18대,없음,영어 일본어 중국어 기타 (),가능,불가능,불가능,가능,"한우 찜갈비(180g) 30,000원 <br />미국산 찜갈비(180g) 22,000원 <br />소고기찌개 9,000원<br /><br /><br />","50년 전통을 자랑하는 벙글벙글찜갈비는 화려한 맛보다 기본(위생, 건강, 맛)에 충실하고자 합니다. 진한 양파물에 최상의 갈비를 알맞게 삶아 국내산 마늘과 고춧가루를 듬뿍 넣어 맛과 건강을 동시에 잡은 찜갈비는 최고의 보양식이라 자부합니다. 백년가게로 선정된 벙글벙글찜갈비는 세대가 바뀌어도 변하지 않는 맛을 이어갈 것을 약속드립니다.<br />","지하철 1호선 칠성시장역 3번 출구 약 626m 이며, 도보로 약 10분 거리",버스 정류장은 동인치안센터앞 정류장이 가장 가깝습니다.,중구,대구광역시 중구 동인동1가 322-2,35.87218,128.60357,120,2,18
158,232,대구광역시 중구 전동 20-1,한식,한우장식당,053-257-1125,24시간,56,주변유료주차장이용,없음,일본어 기타 (),가능,불가능,불가능,가능,"설렁탕 9,000원 <br />따로국밥 8,000원 <br />꼬리곰탕 15,000원<br />",대구에서 설렁탕을  제대로 하는 몇안되는 집이라고 자랑하는 한우장은 지난 25년동안 모든 야채와 고기를 직접 시장에 가서 고르고 사오는 정성이 있었기 때문에 지금의 한우장이 있다고 하신다.,지하철 1호선 중앙로역 4번 출구 약 210m,버스 정류장은 만경관앞 정류장이 가장 가깝습니다.,중구,대구광역시 중구 전동 20-1,35.87105,128.59269,0,0,1
159,231,대구광역시 중구 전동 24-6,한식,대구전통따로식당,053-257-1476,24시간,50,유료주차장,없음,일본어 기타 (),가능,불가능,가능,가능,"따로선짓국 9,000원 <br />수육 40,000원 <br />설렁탕 10,000원<br />",30년 이상 이곳에서 따로국밥을 판매 해 오셨다.<br />이곳의 따로국밥은 특별히 소면을 함께 준다.<br />곰국에 넣어 먹던 소면을 따로국밥에 넣어서 먹는 건 또다른 재미를 준다.,지하철 1호선 중앙로역 4번 출구 약 230m,버스 정류장은 만경관앞 정류장이 가장 가깝습니다.,중구,대구광역시 중구 전동 24-6,35.87105,128.59269,0,0,1
160,225,대구광역시 중구 종로1가 41-35,일식,종로초밥,053-252-0321,11:00 ~ 22:00,50석,유료주차장,없음,기타 (),가능,불가능,불가능,불가능,"광어회 50,000원 <br />모둠회 40,000원 <br />무침회 20,000원<br />",초밥과 함께 국물 맛이 산뜻하고 구수한 오뎅탕이 일품이다.편안한 분위기에서 부담없는 가격으로 즐길수 있다.,지하철 1호선 중앙로역 1번 출구 약 260m,버스 정류장은 약령시건너(동성로입구)  정류장이 가장 가깝습니다.,중구,대구광역시 중구 종로1가 41-35,35.87032,128.59126,50,0,1
161,223,대구광역시 중구 남산동 921-5,일식,삼삼구이초밥,053-425-3392,12:00 ~ 23:30,70석,유료주차(1시간무료),없음,일본어 기타 (),가능,불가능,불가능,불가능,"회덮밥 9,000원 <br />미주구리 30,000원 <br />점심특선 6,000원<br />","활어회, 장어구이에 회초밥과 우동까지 저렴한 가격에 한 끼 식사를 겸한 술 한 잔 하기 딱 좋은 집이다. 곁들임 안주의 종류와 양이 푸짐하기로 유명하다.",지하철 1호선 반월당역 3번 출구 약 75m,버스 정류장은 반월당역(1번출구)1 정류장이 가장 가깝습니다.,중구,대구광역시 중구 남산동 921-5,35.8616174,128.587267,70,0,1
162,219,대구광역시 중구 남일동 92,중식,중화반점,053-425-6839,11:30 ~ 21:00 (브레이크타임 14:00~15:00/16:00~17:00),136석(룸4),유료주차,없음,기타 (),가능,불가능,불가능,가능,"야끼우동 12,000원 <br />야끼밥 12,500원 <br />미니탕수육 22,000원<br />",[중화반점]은 40년 이상 전통의 야끼우동 전문점입니다. 야끼우동은 쫄깃쫄깃한 면과 다양한 채소들로 식감이 아주 좋습니다.,"지하철 1호선 중앙로역 2번 출구에서 약 130m이며, 도보로 약 2분 거리",버스 정류장은 약령시 앞 정류장이 가장 가깝습니다.,중구,대구광역시 중구 남일동 92,35.8694,128.59332,136,4,1
163,217,대구광역시 중구 종로2가 20,중식,영생덕,053-255-5777,11:40 ~ 21:00,40석,없음,없음,중국어 기타 (),가능,불가능,불가능,가능,"짜장면 5,000원 <br />짬뽕 6,500원<br />볶음밥 7,000원<br />",중국인이 운영하는 곳으로서 만두가 유명하다.한국적 입맛과 중국풍을 가미하여 색다른 맛을 낸다.<br />30년 넘게 중국식 만두를 찾는 손님으로 항상 붐비는 집이다.,지하철 1호선 중앙로역 1번 출구 약 260m,버스 정류장은 만경관건너 정류장이 가장 가깝습니다.,중구,대구광역시 중구 종로2가 20,35.8747835,128.5894151,40,0,0
164,205,대구광역시 중구 포정동 69-1,한식,황소식당,053-421-9930,11:00 ~ 24:00,84석(룸2),주차불가,없음,영어 기타 (),가능,불가능,불가능,가능,"돌솥정식 15,000원 <br />육회비빔밥 15,000원<br />생고기 50,000원 <br />육회 50,000원<br />","토속적인 음식을 잘 조리하여 중장년층의 단골손님이 많으며, 대구10味 생고기와 돌솥밥은 황소식당의 대표 메뉴입니다.<br /><br /><br />",지하철 1호선 중앙로역 3번 출구 약 40m,버스 정류장은 경상감영공원건너 정류장이 가장 가깝습니다.,중구,대구광역시 중구 포정동 69-1,35.87171,128.59269,84,2,1
165,204,대구광역시 중구 동인동2가 108-9,한식,한옥집 동인점,053-425-8653,10:00 ~ 21:30,60석,없음,없음,영어 기타 (),불가,불가능,불가능,가능,"김치찜 10,000원<br />김치찌개 9,000원<br />","한옥집은 김치와 사골 육수, 돼지고기의 맛이 어울어져 든든한 한끼를 제공하고 있는 김치찜 전문점입니다.",지하철 1호선 칠성시장역 3번 출구 약 750m,버스 정류장은 동인치안센터앞 정류장이 가장 가깝습니다.,중구,대구광역시 중구 동인동2가 108-9,35.8688601,128.6030345,60,0,0
166,196,대구광역시 중구 종로2가 66-6,한식,종로숯불갈비,053-252-7197,11:50 ~ 22:00 (브레이크타임 15:00~17:00),120석(룸5),9대,없음,영어 기타 (),가능,불가능,불가능,가능,"육회 200g 30,000원<br />갈비살 100g 28,000원<br />양념 돼지갈비 200g 12,000원<br />",종로숯불갈비는 30년 이상의 전통을 자랑하는 돼지갈비 전문점입니다.,지하철 1호선 반월당역 15번 출구 약 300m,버스 정류장은 약령시건너 정류장이 가장 가깝습니다.,중구,대구광역시 중구 종로2가 66-6,35.86834,128.5919,120,5,9
167,189,대구광역시 중구 동성로2가 54-1,한식,상주식당,053-425-5924,10:00 ~ 19:00,88석(룸4),유료주차,없음,일본어 기타 (),가능,불가능,불가능,불가능,"추어탕 11,000원",대구에서 가장 오래된 추어탕 집으로 경상도 추어탕의 정수로 영남 지방은 물론 전국의 추어탕 마니아들과 미식가들이 많이 찾는 음식점으로 유명합니다.,지하철 1호선 중앙로역 2번 출구 약 250m,버스 정류장은 CGV대구한일 앞 정류장이 가장 가깝습니다.,중구,대구광역시 중구 동성로2가 54-1,35.86738,128.5937,88,4,1
168,188,대구광역시 중구 동산동 120,한식,부창생갈비,053-255-0968,11:00 ~ 21:30,56석,20대,없음,영어 기타 (),가능,불가능,불가능,가능,"부창생갈비(150g) 32,000원 <br />안창살(100g) 35,000원<br /><br />","40여년동안 단일메뉴인 생갈비만을 전문으로 하는 오랜 전통의 한우갈비집입니다. 시골집 밥상이 떠오르는 정갈한 기본찬들과 손맛 가득한 젓갈장, 소고기뭇국을 곁들여 참숯에 구워먹는 100% 순한우갈비 맛이 일품이며, 직접 담근 재래된장으로 끓여낸 푸짐한 된장찌개와 구수한 비지가 깊은 맛을 냅니다.<br />",지하철은 3호선 서문시장역 1번 출구 도보로 약 450m,버스 정류장은 섬유회관건너2 정류장이 가장 가깝습니다.,중구,대구광역시 중구 동산동 120,35.86824,128.58471,56,0,20
169,187,대구광역시 중구 공평동 8-4,한식,부산안면옥,053-424-9389,11:00 ~ 20:30,176석,주변유료주차,없음,기타 (),가능,불가능,불가능,불가능,"평양냉면 12,000원<br />함흥(비빔)냉면 12,000원<br />어복쟁반 75,000원<br />",저희 부산안면옥은 1905년 평양에서 시작되어 한국전쟁으로 부산을 거쳐 1969년 대구에 자리잡은 이래 같은 자리에서 56년간 변치않은 원조 평양냉면을 자랑하고 있습니다. 4대째 이어오고 있는 저희 가게는 한우 양지를 우려낸 깔끔한 냉면육수와 한우 사골로 진하게 맛을 낸 온육수를 자랑하며 한결같은 맛으로 많은 사랑을 받고 있습니다.<br />,지하철 1호선 중앙로역 3번 출구 약 550m,버스 정류장은 2.28기념중앙공원건너2  정류장이 가장 가깝습니다.,중구,대구광역시 중구 공평동 8-4,35.87032,128.59819,176,0,1
170,182,대구광역시 중구 대안동 12,한식,마산설렁탕,053-254-4317,08:00 ~ 20:30,70,2대,없음,기타 (),가능,불가능,가능,불가능,"설렁탕 12,000원 <br />수육 40,000~50,000원<br /><br />",30년 가까운 전통을 자랑하는 업소로 푹 고은 진한 사골국물맛이 일품이다. 가마솥에 한우사골을 24시간 우려내어 고소하고 담백하다.<br /><br />,지하철 1호선 중앙로역 4번 출구 약 250m,버스 정류장은 경상감영공원건너 정류장이 가장 가깝습니다.,중구,대구광역시 중구 대안동 12,35.87304,128.59149,0,0,2
171,181,대구광역시 중구 계산동2가 6,한식,마당갈비,053-255-2324,11:30 ~ 21:30(브레이크타임 14:30 ~ 16:30),56석(룸2),없음,없음,기타 (),가능,불가능,불가능,가능,"갈비 11,000원 <br />갈비찜 12,000원<br />",1984년 오픈한 이래 갈빗대가 붙은 진짜 돼지갈비만을 꾸준히 취급해온 돼지갈비 전문점입니다.<br /><br />,지하철 3호선 달성공원역 1번 출구 약 35m,버스 정류장은 수창초등학교 정류장이 가장 가깝습니다.,중구,대구광역시 중구 계산동2가 6,35.86742,128.58967,56,2,0
172,180,대구광역시 중구 삼덕동2가 223-3,한식,마당,053-423-1352,12:00 ~ 22:00,84석,없음,없음,기타 (),가능,불가능,불가능,가능,"양념갈매기살(150g) 13,000원 <br />잔치국수 5,000원<br />",22년째 이어오는 갈매기살 전문점으로 갈매기살 한가지만 취급한다.단백하면서도 깔끔한 맛은 한번 찾은 손님은 꼭 다시 찾게 되는 업소이다.끝에 먹는 잔치국수 또한 별미이다.<br /><br />,지하철 2호선 경대병원역 4번 출구 약 370m,버스정류장은 경북대학교병원앞 정류장이 가장 가깝습니다.,중구,대구광역시 중구 삼덕동2가 223-3,35.8655913,128.6022777,84,0,0
